ID	s	d	TTL	size	genT
0	0	4	60	20	2
1	2	4	60	40	2
2	2	3	60	2	1
3	1	4	60	40	1
4	2	4	60	2	0
5	1	4	60	20	11
6	2	5	60	20	14
7	0	5	60	2	17
8	2	4	60	60	11
9	2	3	60	40	13
10	0	4	60	40	11
11	1	3	60	20	37
12	1	4	60	20	39
13	2	3	60	60	35
14	1	3	60	40	39
15	1	3	60	40	37
16	2	4	60	40	55
17	2	3	60	20	48
18	0	5	60	60	47
19	1	5	60	40	50
20	0	5	60	60	53
21	1	4	60	60	47
22	2	5	60	20	47
23	1	5	60	60	51
24	1	4	60	2	69
25	1	4	60	40	72
26	0	3	60	60	68
27	2	3	60	20	65
28	2	3	60	2	71
29	2	5	60	2	76
30	2	4	60	20	81
31	1	3	60	2	76
32	0	4	60	60	82
33	2	3	60	20	78
34	1	4	60	2	81
35	1	4	60	60	75
36	0	3	60	2	95
37	1	5	60	2	91
38	2	4	60	40	90
39	0	3	60	40	91
40	1	5	60	20	92
41	2	4	60	40	89
42	1	3	60	60	90
43	0	5	60	2	96
44	0	5	60	2	91
45	2	3	60	40	108
46	0	3	60	40	103
47	1	5	60	20	107
48	2	3	60	40	103
49	1	5	60	60	110
50	2	3	60	20	103
51	2	4	60	60	108
52	0	5	60	40	109
53	1	4	60	2	105
54	2	3	60	20	114
55	2	4	60	20	119
56	2	5	60	20	116
57	1	4	60	40	118
58	2	4	60	2	119
59	2	5	60	60	118
60	0	5	60	20	114
61	1	5	60	20	118
62	2	5	60	40	115
63	1	4	60	40	116
64	2	4	60	20	116
65	0	5	60	2	115
66	0	5	60	60	116
67	1	3	60	20	120
68	0	4	60	20	137
69	2	5	60	40	135
70	0	5	60	20	136
71	2	5	60	2	135
72	1	5	60	60	132
73	1	5	60	40	134
74	1	5	60	2	133
75	0	5	60	40	140
76	0	4	60	2	139
77	1	3	60	2	137
78	1	3	60	60	138
79	2	4	60	2	145
80	2	4	60	60	152
81	1	3	60	2	145
82	0	5	60	2	148
83	1	4	60	60	145
84	2	5	60	20	150
85	0	5	60	60	152
86	1	3	60	20	151
87	2	5	60	20	146
88	0	4	60	60	168
89	1	3	60	40	169
90	1	4	60	20	167
91	0	3	60	40	166
92	1	4	60	20	165
93	0	4	60	40	169
94	1	4	60	2	163
95	0	3	60	2	164
96	2	5	60	40	167
97	2	3	60	20	187
98	2	4	60	2	185
99	1	5	60	40	186
100	1	3	60	60	179
101	0	5	60	2	181
102	2	4	60	60	182
103	1	5	60	40	187
104	0	3	60	2	184
105	2	3	60	40	179
106	2	3	60	2	179
107	0	3	60	60	186
108	2	3	60	20	186
109	1	5	60	40	180
110	0	3	60	40	186
111	1	3	60	60	183
112	1	3	60	60	199
113	2	4	60	20	197
114	0	3	60	60	199
115	0	5	60	20	202
116	2	4	60	40	194
117	0	5	60	40	217
118	0	3	60	40	211
119	2	5	60	60	218
120	0	3	60	2	215
121	1	3	60	40	215
122	0	4	60	2	227
123	2	3	60	60	224
124	1	3	60	40	230
125	2	3	60	40	230
126	1	4	60	40	227
127	1	4	60	20	223
128	0	3	60	40	231
129	1	3	60	60	231
130	1	3	60	40	225
131	1	5	60	2	229
132	2	5	60	20	231
133	2	3	60	60	226
134	2	3	60	2	223
135	1	3	60	20	230
136	0	5	60	20	224
137	2	3	60	20	244
138	1	4	60	20	242
139	2	3	60	60	239
140	1	4	60	2	240
141	2	3	60	2	246
142	0	4	60	2	238
143	0	5	60	20	239
144	0	3	60	40	246
145	0	5	60	40	241
146	2	3	60	2	259
147	1	4	60	40	263
148	0	5	60	20	257
149	0	3	60	2	258
150	2	4	60	40	263
151	1	3	60	20	255
152	0	5	60	2	274
153	2	4	60	20	280
154	2	4	60	20	275
155	0	5	60	40	277
156	0	5	60	40	278
157	1	4	60	20	282
158	1	4	60	2	278
159	1	3	60	2	280
160	2	4	60	20	277
161	1	4	60	60	281
162	0	3	60	20	276
163	1	5	60	60	282
164	1	5	60	40	280
165	0	5	60	40	274
166	2	4	60	2	297
167	0	3	60	20	296
168	2	4	60	2	293
169	1	4	60	2	296
170	2	5	60	60	296
171	1	4	60	60	298
172	0	5	60	60	296
173	1	4	60	40	296
174	1	3	60	2	299
175	0	5	60	40	293
176	0	3	60	2	292
177	2	3	60	2	296
178	0	5	60	20	300
179	1	3	60	2	309
180	2	4	60	60	311
181	1	5	60	60	308
182	2	4	60	2	311
183	1	3	60	60	309
184	0	3	60	20	306
185	2	5	60	2	307
186	2	3	60	60	317
187	1	4	60	40	321
188	2	3	60	60	316
189	1	3	60	40	320
190	1	3	60	20	324
191	1	3	60	60	317
192	1	5	60	2	323
193	1	5	60	20	316
194	1	5	60	2	334
195	2	3	60	2	332
196	1	3	60	20	332
197	1	5	60	2	335
198	2	5	60	20	334
199	2	3	60	20	331
200	0	3	60	60	328
201	1	3	60	2	334
202	0	5	60	20	333
203	0	5	60	2	328
204	2	4	60	2	331
205	0	4	60	2	335
206	1	3	60	60	333
207	1	3	60	40	337
208	2	5	60	40	345
209	1	3	60	60	339
210	0	5	60	2	337
211	1	5	60	2	341
212	1	3	60	60	340
213	1	4	60	20	342
214	2	3	60	40	344
215	2	3	60	40	337
216	2	4	60	2	341
217	2	5	60	60	344
218	0	4	60	2	345
219	1	3	60	20	337
220	1	5	60	60	340
221	1	3	60	40	365
222	2	5	60	40	365
223	0	3	60	2	362
224	2	4	60	40	364
225	0	5	60	60	363
226	2	3	60	2	360
227	1	4	60	60	364
228	1	3	60	20	360
229	1	5	60	20	357
230	1	5	60	60	361
231	0	5	60	60	357
232	2	4	60	40	365
233	2	4	60	20	359
234	2	5	60	20	360
235	0	3	60	2	381
236	0	3	60	60	376
237	0	4	60	2	375
238	1	3	60	60	379
239	1	5	60	2	374
240	0	4	60	40	376
241	2	4	60	2	378
242	1	5	60	60	380
243	1	4	60	2	396
244	0	3	60	2	395
